Time, RES, VIRT, CPU
2022-03-05 00:08:39.619843, 3800000000, 4650888, 1540.0
2022-03-05 00:08:40.603811, 3700000000, 4585352, 1213.0
2022-03-05 00:08:41.591948, 3700000000, 4585352, 1567.0
2022-03-05 00:08:42.623853, 3700000000, 4454280, 1600.0
2022-03-05 00:08:43.611859, 3800000000, 4496524, 1567.0
2022-03-05 00:08:44.615804, 3700000000, 4528264, 1507.0
2022-03-05 00:08:45.635794, 3800000000, 4593800, 1527.0
2022-03-05 00:08:46.596146, 3700000000, 4528264, 1527.0
2022-03-05 00:08:47.603791, 3800000000, 4693132, 1520.0
2022-03-05 00:08:48.607822, 3800000000, 4693132, 1580.0
2022-03-05 00:08:49.599775, 3800000000, 4593800, 1527.0
2022-03-05 00:08:50.603766, 3800000000, 4593800, 1580.0
2022-03-05 00:08:51.603811, 3800000000, 4627596, 1580.0
2022-03-05 00:08:52.611794, 3800000000, 4627596, 1533.0
2022-03-05 00:08:53.608173, 3800000000, 4593800, 1513.0
2022-03-05 00:08:54.611888, 3800000000, 4593800, 1513.0
2022-03-05 00:08:55.631796, 3800000000, 4627596, 1513.0
2022-03-05 00:08:56.604361, 3800000000, 4593800, 2093.0
2022-03-05 00:08:57.595760, 3800000000, 4593800, 2187.0
2022-03-05 00:08:58.578959, 3800000000, 4627596, 93.3
2022-03-05 00:08:59.585808, 3800000000, 4593800, 100.0
2022-03-05 00:09:00.595897, 3800000000, 4627596, 100.0
2022-03-05 00:09:01.578137, 3800000000, 4593800, 1640.0
2022-03-05 00:09:02.575764, 3700000000, 4557960, 1627.0
2022-03-05 00:09:03.576623, 3700000000, 4557960, 1373.0
2022-03-05 00:09:04.576641, 3700000000, 4557960, 1233.0
2022-03-05 00:09:05.578894, 3700000000, 4623496, 1180.0
2022-03-05 00:09:06.575354, 3700000000, 4623496, 973.3
2022-03-05 00:09:07.575939, 3700000000, 4589700, 740.0
2022-03-05 00:09:08.592833, 3700000000, 4589700, 2280.0
2022-03-05 00:09:09.588022, 3700000000, 4589700, 2167.0
2022-03-05 00:09:10.597145, 3700000000, 4606596, 2027.0
2022-03-05 00:09:11.596135, 3800000000, 4640388, 1887.0
2022-03-05 00:09:12.622230, 3800000000, 4705924, 1880.0
2022-03-05 00:09:13.595894, 3800000000, 4640388, 2073.0
2022-03-05 00:09:14.595913, 3800000000, 4640388, 1880.0
2022-03-05 00:09:15.595806, 3700000000, 4574852, 1767.0
2022-03-05 00:09:16.591772, 3800000000, 4574856, 1740.0
2022-03-05 00:09:17.593344, 3800000000, 4509320, 1707.0
2022-03-05 00:09:18.603937, 3800000000, 4509320, 1613.0
2022-03-05 00:09:19.587716, 3700000000, 4509320, 506.7
2022-03-05 00:09:20.595681, 3700000000, 4543116, 306.7
2022-03-05 00:09:21.595772, 3700000000, 4509320, 206.7
2022-03-05 00:09:22.599883, 3700000000, 4509320, 160.0
2022-03-05 00:09:23.596124, 3700000000, 4509320, 100.0
2022-03-05 00:09:24.587833, 3700000000, 4475524, 1053.0
2022-03-05 00:09:25.590587, 3700000000, 4475524, 853.3
2022-03-05 00:09:26.599903, 3600000000, 4475524, 1180.0
2022-03-05 00:09:27.599728, 3600000000, 4475524, 1000.0
2022-03-05 00:09:28.590657, 3600000000, 4409988, 1067.0
2022-03-05 00:09:29.603812, 3500000000, 4352900, 346.7
2022-03-05 00:09:30.595837, 3500000000, 4352900, 1740.0
2022-03-05 00:09:31.619768, 3500000000, 4361348, 1667.0
2022-03-05 00:09:32.595733, 3600000000, 4426884, 1713.0
2022-03-05 00:09:33.599724, 3600000000, 4443780, 1727.0
2022-03-05 00:09:34.615727, 3600000000, 4378244, 1720.0
2022-03-05 00:09:35.599813, 3600000000, 4378244, 1747.0
2022-03-05 00:09:36.619773, 3600000000, 4344452, 1727.0
2022-03-05 00:09:37.619786, 3600000000, 4426884, 1673.0
2022-03-05 00:09:38.623777, 3600000000, 4492420, 1673.0
2022-03-05 00:09:39.596065, 3600000000, 4344452, 2040.0
2022-03-05 00:09:40.599726, 3600000000, 4344452, 2033.0
2022-03-05 00:09:41.611872, 3600000000, 4344452, 1813.0
2022-03-05 00:09:42.588041, 3600000000, 4344452, 126.7
2022-03-05 00:09:43.575516, 3500000000, 4378248, 100.0
2022-03-05 00:09:44.603817, 3500000000, 4344452, 1120.0
2022-03-05 00:09:45.614602, 3500000000, 4344452, 1220.0
2022-03-05 00:09:46.587797, 3500000000, 4278916, 1100.0
2022-03-05 00:09:47.595904, 3400000000, 4278916, 100.0
2022-03-05 00:09:48.596102, 3500000000, 4352900, 1287.0
2022-03-05 00:09:49.595873, 3600000000, 4386692, 1387.0
2022-03-05 00:09:50.607816, 3700000000, 4682628, 1513.0
2022-03-05 00:09:51.611824, 3600000000, 4566404, 1680.0
2022-03-05 00:09:52.595790, 3700000000, 4420488, 1660.0
2022-03-05 00:09:53.599765, 3700000000, 4633992, 1673.0
2022-03-05 00:09:54.603817, 3800000000, 4750220, 1680.0
2022-03-05 00:09:55.593011, 3700000000, 4650888, 1547.0
2022-03-05 00:09:56.599741, 3700000000, 4469128, 1620.0
2022-03-05 00:09:57.603814, 3700000000, 4633996, 1620.0
2022-03-05 00:09:58.595856, 3700000000, 4591752, 1620.0
